Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-06-13,0,0,,
2026-06-14,0,1,0%,2
2026-06-15,1,10,10%,9.4
2026-06-16,1,6,16.67%,6.3
2026-06-17,0,4,0%,5.8
2026-06-18,0,10,0%,6
2026-06-19,0,1,0%,2
2026-06-20,0,1,0%,4
2026-06-21,0,2,0%,4.5
2026-06-22,0,4,0%,14
2026-06-23,0,3,0%,4.7
2026-06-24,0,8,0%,5.6
2026-06-25,0,9,0%,5
2026-06-26,0,0,,
2026-06-27,0,14,0%,4.4
2026-06-28,0,3,0%,27.7
2026-06-29,0,7,0%,6.1
2026-06-30,1,6,16.67%,13.3
2026-07-01,0,1,0%,7
2026-07-02,0,6,0%,3.8
2026-07-03,0,5,0%,5
2026-07-04,0,4,0%,10.5
2026-07-05,0,5,0%,5.6
2026-07-06,0,7,0%,12.3
2026-07-07,0,8,0%,6.4
